IMAGE,LABEL,DATE,YEAR,MONTH,DAY,TIME
brooksFalls/ra_201709/bf_700/20170719-bc-700-amr-2.jpg,bf_700,20170719,2017,7,19,210905
brooksFalls/ra_201709/bf_700/20170719-bc-700-amr-1.jpg,bf_700,20170719,2017,7,19,211234
britishColumbia/melanie_20170828/bc_caramel/IMG_5819.JPG,bc_caramel,20151002,2015,10,2,84304
britishColumbia/melanie_20170828/bc_caramel/IMG_0060.JPG,bc_caramel,20160815,2016,8,15,103204
britishColumbia/melanie_20170828/bc_caramel/IMG_0043.JPG,bc_caramel,20160815,2016,8,15,102133
britishColumbia/melanie_20170828/bc_caramel/IMG_0063.JPG,bc_caramel,20160815,2016,8,15,103222
brooksFalls/nps_library_201709/bf_755/755_073104_02.jpg,bf_755,20040731,2004,7,31,195349
brooksFalls/nps_library_201709/bf_755/755_072404_05.jpg,bf_755,20040724,2004,7,24,195308
brooksFalls/bear_mon_201607/bf_755/P1240361.JPG,bf_755,20160705,2016,7,5,155007
brooksFalls/bear_mon_201407/bf_755/P1150617.JPG,bf_755,20140703,2014,7,3,215751
brooksFalls/bear_mon_201407/bf_755/P1150628.JPG,bf_755,20140704,2014,7,4,144319
brooksFalls/bear_mon_201507/bf_755/P1200496.JPG,bf_755,20150704,2015,7,4,233451
brooksFalls/fi_2015_2016/bf_755/2016IF_755_2_06272016_25304945419_o_small.jpg,bf_755,20160627,2016,6,27,190818
brooksFalls/bear_mon_201507/bf_755/P1200801.JPG,bf_755,20150711,2015,7,11,155558
brooksFalls/bear_mon_201607/bf_755/P1240546.JPG,bf_755,20160707,2016,7,7,192209
brooksFalls/fa_2015_2016/bf_775/2016CF_lefty-775_28713711244_o.jpg,bf_775,20160716,2016,7,16,205554
brooksFalls/an_201708/bf_775/20752039779_675dd038b4_k.jpg,bf_775,0,0,0,0,0
brooksFalls/bear_mon_201607/bf_775/P1250387.JPG,bf_775,20160726,2016,7,26,193815
brooksFalls/fa_2015_2016/bf_775/2015CF_lefty-775_20499152796_o.jpg,bf_775,20150715,2015,7,15,160243
